gene,wilcox_pval_culture,wilcox_bonferroni_pval_culture,log2FC_culture_microglial_vs_not,fraction_expressed_culture_microglial,fraction_expressed_culture,wilcox_pval_acute,wilcox_bonferroni_pval_acute,log2FC_acute_microglial_vs_not,fraction_expressed_acute_microglial,fraction_expressed_acute,used_for_defining_microglial_signature,commom_acute_and_culture_microglial_gene
ABCB4,2.64E-13,1.33E-08,-0.118695216,0.567,0.247,2.17E-10,1.09E-05,1.970367316,0.508,0.181,FALSE,TRUE
NLRP3,4.04E-13,2.03E-08,3.015865405,0.652,0.392,9.02E-21,4.54E-16,3.070453968,0.839,0.362,FALSE,TRUE
MT2A,7.04E-12,3.54E-07,0.828540018,0.865,0.503,1.43E-09,7.19E-05,0.887894468,0.815,0.543,FALSE,TRUE
CCR7,1.22E-11,6.11E-07,5.453559176,0.281,0.062,2.53E-07,0.012723982,3.442002527,0.29,0.08,FALSE,TRUE
HIST2H2BF,3.04E-11,1.53E-06,2.110216203,0.478,0.191,6.85E-10,3.44E-05,2.123149342,0.847,0.548,FALSE,TRUE
LOC101927686,1.12E-10,5.61E-06,1.849164106,0.427,0.163,2.72E-09,0.000136871,4.187739909,0.371,0.106,FALSE,TRUE
LOC105375013,2.30E-10,1.16E-05,1.628898389,0.657,0.413,1.54E-09,7.73E-05,5.435248057,0.581,0.362,FALSE,TRUE
MX2,6.88E-10,3.46E-05,1.370016388,0.562,0.299,6.61E-11,3.33E-06,5.066773079,0.395,0.096,FALSE,TRUE
GLDN,8.80E-10,4.43E-05,1.334664592,0.697,0.438,1.94E-06,0.097713796,3.153643773,0.605,0.362,FALSE,TRUE
XIRP1,1.62E-09,8.13E-05,4.624571195,0.219,0.042,7.35E-17,3.70E-12,2.825937896,0.46,0.059,FALSE,TRUE
TNFSF15,3.92E-08,0.001972237,3.857783179,0.287,0.097,1.13E-09,5.67E-05,5.491159128,0.323,0.064,FALSE,TRUE
LOC105371664,5.13E-08,0.002577252,1.160127346,0.601,0.372,2.66E-21,1.34E-16,6.945594743,0.694,0.255,FALSE,TRUE
DHRS9,1.51E-07,0.007602058,2.75303321,0.253,0.08,6.03E-20,3.03E-15,2.802155708,0.742,0.255,FALSE,TRUE
MIR31HG,9.31E-07,0.046806328,0.964675061,0.5,0.306,8.94E-11,4.49E-06,4.056274674,0.5,0.202,FALSE,TRUE
C10orf128,2.02E-06,0.101512986,2.69000808,0.247,0.09,1.22E-24,6.13E-20,4.186366136,0.669,0.112,FALSE,TRUE
OR9A4,3.45E-06,0.173421004,3.070533845,0.511,0.326,2.74E-09,0.000137622,5.35832867,0.565,0.303,FALSE,TRUE
LOC105376402,4.63E-06,0.23258392,-4.343429903,0.472,0.656,0.085660852,1,0.027397205,0.427,0.362,TRUE,FALSE
SOX9,0.000121803,1,-0.313770021,0.197,0.073,0.003219923,1,1.613694293,0.306,0.165,FALSE,TRUE
CRHBP,0.002227301,1,-6.018066656,0.629,0.628,0.556427198,1,-0.746117854,0.581,0.5,TRUE,FALSE
RSAD2,0.010144749,1,1.889138365,0.584,0.403,0.063918331,1,7.584882419,0.29,0.223,FALSE,TRUE
